type,org,description,ticket_id,coords,photo_url,after_photo,address,timestamp,problem_type_abdul,star,count_reopen,note,state,last_activity
ความสะอาด,กรุงเทพมหานคร,ฝั่งตรงข้ามบ้านอีกฝั่งคลองชอบเผาใบไม้เผาขยะประจำครับ,2023-BHUREQ,"['100.46251', '13.74956']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/5004240b0f186a6eef93cb631634185655d8f77b.jpg,,161/836 ซอย จรัญสนิทวงศ์ 27 แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18 07:50:29.691287+00,['ความสะอาด'],,0,,รอรับเรื่อง,2023-05-18 07:50:29.682107+00
ความสะอาด,กรุงเทพมหานคร,มีคนมาทิ้งขยะทีรั้วบ้านและ รถขยะไม่ได้เก็บทิ้ง,2023-4R77V6,"['100.59959', '13.66565']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/e3a178bb3d4d896c1cc58da19ce85e8886c62d44.jpg,,27/1107 ซอย นภาลัย 6 บางนาใต้ เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18 07:50:07.201368+00,['ความสะอาด'],,0,,รอรับเรื่อง,2023-05-18 07:50:07.19099+00
"ความสะอาด,ร้องเรียน,ถนน",กรุงเทพมหานคร,"ปัญหา: พบขยะเป็นจำนวนมาก รวมถึงซากสัตว์ที่ตาย ในคลองลาดพร้าว ทำให้ส่งกลิ่นเหม็นรบกวน ประชาชนที่อยู่บริเวณใกล้เคียง และตอนนี้ผู้ร้องเป็นภูมิแพ้ หอมหืดด้วย เดือดร้อนมาก // ขอให้เจ้าหน้าที่ที่รับผิดชอบ  มาช่วยเก็บขยะและซากสัตว์ต่างๆออกจากลำคลองให้เรียบร้อย
จุดเกิดเหตุ: ชุมชนในซอยโรงเรียนไทย-ญี่ปุ่น ถนนริมคลองลาดพร้าว
บ้านเลขที่: 700/90 (บ้านเลขที่ผู้ร้อง)
ซอย: พระราม 9 ซอย 17
ถนน: พระรามที่ 9
เขต: ห้วยขวาง
#1555",4NUZU9,"['100.59296', '13.76094']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396111423.jpeg,,258 พระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18 07:48:32.978321+00,"['ความสะอาด', 'ร้องเรียน', 'ถนน']",,0,เขตห้วยขวาง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),2023-05-18 07:57:13.330429+00
ร้องเรียน,กรุงเทพมหานคร,"ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง  นร01660001544


ด้วย นางสาวชูใจ อเนกานนท์ ราษฎรจากกรุงเทพมหานคร  เขตบางกอกน้อย ได้เดินทางไปยื่นหนังสือคำร้อง ลงวันที่ 16 พฤษภาคม 2566 กราบเรียนนายกรัฐมนตรี ณ จุดบริการประชาชน 1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล สำนักงานปลัดสำนักนายกรัฐมนตรี ขอความช่วยเหลือเกี่ยวกับค่าใช้จ่ายในการจ้างรถรับจ้างขนย้ายสิ่งของให้กับผู้ร้อง เนื่องจากผู้ร้องแจ้งว่าประสงค์นำแผ่นป้ายหาเสียงที่ถูกทิ้งอยู่บริเวณริมถนนมาซ่อมแซมเป็นหลังคาบ้าน ซึ่งมีค่าใช้จ่ายในการจ้างรถรับจ้าง จำนวน 800 บาท หากแต่ผู้ร้องไม่มีรายได้ จึงประสงค์ขอความช่วยเหลือกรณีดังกล่าว รายละเอียดตามเอกสารแนบ


//หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก
ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการ และโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัย หรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียน การเป็นพยาน หรือการให้ข้อมูลนั้น  #ศรท  #ศรท1111
#1555 #citydata",K6VW28,"['100.46807', '13.77078']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396039689.jpeg,,"สำนักงานเขตบางกอกน้อย Bang Khun Non Road, Bang Khun Non, Bangkok Noi, Bangkok : 9 99 ถ. บางขุนนนท์ แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย",2023-05-18 07:47:20.911181+00,['ร้องเรียน'],,0,,รอรับเรื่อง,2023-05-18 07:51:24.652873+00
"สัตว์จรจัด,ความปลอดภัย,ถนน",กรุงเทพมหานคร,"ปัญหา : พบสุนัขดุ เกรงเป็นอันตรายต่อประชาชนในพื้นที่ ต้องการให้จัดการแก้ไข
จุดสังเกต : พื้นที่ว่างมีเพิงหลังคา ข้างบ้านเลขที่ 362 (เข้าแยก12 เลี้ยวขวา)
บ้านเลขที่ : -
ถนน : จรัญสนิทวงศ์
ซอย : จรัญสนิทวงศ์ 69 แยก 12
เขต : บางพลัด
#1555",ZNJNWJ,"['100.49188', '13.78890']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396016010.jpeg,,424 ซอย จรัญสนิทวงศ์ 69 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18 07:46:58.002165+00,"['สัตว์จรจัด', 'ความปลอดภัย', 'ถนน']",,0,เขตบางพลัด ส่งต่อไปยัง กองสัตวแพทย์ สำนักอนามัย กทม.,ส่งต่อ(ใหม่),2023-05-18 08:01:38.648169+00
"ต้นไม้,ถนน",กรุงเทพมหานคร,"ปัญหาที่แจ้ง: ขอให้ตัดแต่งต้นไม้ กิ่งไม้ สาธารณะริมถนนลาดหญ้า บริเวณหน้าบ้านของประชาชน อยากให้ตรวจสอบและแก้ไข
จุดเกิดเหตุ: หน้าบ้านเลขที่ 240 เป็นร้านขายของชำชื่อร้านจำรัสการช่างอยู่ระหว่างซอย 4 กับซอย 3  จุดสังเกต บริษัท J&T จำกัด
ซอย: อยู่ระหว่างซอยลาดหญ้า 3 กับ ซอยลาดหญ้า 4
ถนน: ลาดหญ้า
แขวง: คลองสาน
 เขต: คลองสาน
กรุงเทพมหานคร
#1555",7RTFHX,"['100.49628', '13.72719']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684395905082.jpeg,,จุดสังเกต บริษัท J&T จำกัด : เลขที่ 59 ถ. ลาดหญ้า แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18 07:45:06.121066+00,"['ต้นไม้', 'ถนน']",,0,กำลังตรวจสอบ,กำลังดำเนินการ,2023-05-18 07:53:47.992394+00
กีดขวาง,กรุงเทพมหานคร,รถเข็นขายของช่วงเวลา 12:00-13:00 กีดขวางจรจร,2023-GKRFDU,"['100.56874', '13.76485']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/bfda97c1d5bdd9d9a6924128180c82b5c7b34ab7.jpg,,35/4 ซอย รัชดาภิเษก 5 แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18 07:43:59.426796+00,['กีดขวาง'],,0,,รอรับเรื่อง,2023-05-18 07:43:59.414814+00
แสงสว่าง,กรุงเทพมหานคร,ไฟฟ้าดับในซอยสวนผัก 6 ทั้งซอย,2023-6BGW83,"['100.45640', '13.79509']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/3e5872a1d3b833d1031d3c923fc6ef54696e9319.jpg,,76/10 ซอย สวนผัก 6 แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,2023-05-18 07:43:03.908767+00,['แสงสว่าง'],,0,เขตตลิ่งชัน ส่งต่อไปยัง การไฟฟ้านครหลวง MEA,ส่งต่อ(ใหม่),2023-05-18 07:44:06.115633+00
"ถนน,ความปลอดภัย",กรุงเทพมหานคร,"เบสท์
ซอยสุขาภิบาล 5 ที่ 32 ถนนสุขาภิบาล 5 เเขวงออเงิน เขตสายไหม
เข้าซอยดังกล่าวไปประมาณ 500 เมตร ซ้ายมือ (จุดสังเกต เลยร้านอาหารครัวคุณย่าไปเล็กน้อย) พบถนนชำรุดเป็นหลุมขนาดใหญ่ จำนวน 1 หลุม เมื่อรถจักรยานยนต์ผ่านอาจเกิดอุบัติเหตุได้ ขอให้เจ้าหน้าที่ที่เกี่ยวข้องเร่งดำเนินการตรวจสอบเเละเเก้ไขด้วย
#1555",UF29U2,"['100.65569', '13.88435']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684395728542.jpeg,,1 สุขาภิบาล ๕ ซอย 32 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18 07:42:10.195575+00,"['ถนน', 'ความปลอดภัย']",,0,,รอรับเรื่อง,2023-05-18 07:53:01.498664+00
"ป้าย,ทางเท้า",กรุงเทพมหานคร,ป้ายร้านค้าบนทางเท้า,2023-4TVRB6,"['100.44900', '13.66762']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/bc104fab37220e7aff20b576d541f288360a4535.jpg,,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18 07:41:53.524826+00,"['ป้าย', 'ทางเท้า']",,0,,รอรับเรื่อง,2023-05-18 07:41:53.515716+00
"ถนน,ทางเท้า",กรุงเทพมหานคร,"ปัญหา : ประชาชนแจ้งว่ามีการปรับปรุงพื้นผิวฟุตบาทในบริเวณดังกล่าว ส่งผลให้เกิดความไม่สะดวกในการสัญจร ผู้ร้องต้องการทราบกำหนดระยะเวลาแล้วเสร็จที่ชัดเจนของการปรับปรุง
จุดเกิดเหตุ : หน้าคอนโดลุมพินี
ซอย : รามคำแหง 44 
ถนน : รามคำแหง
เขต : บางกะปิ
#1555",PBM7NX,"['100.64087', '13.76201']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684395701292.jpeg,,รามคำแหง 44 รามคำแหง : 106 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18 07:41:42.942136+00,"['ถนน', 'ทางเท้า']",,0,,รอรับเรื่อง,2023-05-18 07:41:44.558146+00
"ทางเท้า,ป้าย",กรุงเทพมหานคร,ป้ายร้านค้าบนทางเท้าค่ะ,2023-8UBPBM,"['100.44900', '13.66762']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/ff94f5b7e7f0d0e6cd1784e47e266540c6b42ed9.jpg,,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18 07:40:53.357121+00,"['ทางเท้า', 'ป้าย']",,0,,รอรับเรื่อง,2023-05-18 07:40:53.347941+00
"ร้องเรียน,สอบถาม",กรุงเทพมหานคร,"ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02660020448
ขอให้ปรับปรุงการให้บริการของเจ้าหน้าที่ฝ่ายทะเบียน สำนักงานเขตหลักสี่ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร
สืบเนื่องจากวันที่ 14 พ.ค 2566 (วันเลือกตั้ง) ได้รับทราบจากข่าวสารว่าทางเขต/อำเภอ เปิดให้บริการทำบัตรประชาชน ในวันนั้นข้าพเจ้าได้พาภรรยาไปใช้สิทธิ์เลือกตั้งในเขตพื้นที่หลักสี่ แล้วได้พาลูกสาวไปเข้ารับบริการทำบัตรประชาชน (เนื่องจากบัตรหมดอายุและสูญหาย) ในเวลาประมาณ 10.45 น.ข้าพเจ้าได้พาภรรยาและลูกสาวเข้าไปติดต่อที่สำนักงานเขตหลักสี่ ฝ่ายทะเบียนได้รับบัตรคิวหมายเลขA 012 ทางเจ้าหน้าที่ได้ให้ภรรยาข้าพเจ้ากรอกเอกสารและเรียกเข้ารับบริการตามคิวที่ช่องบริการช่องที่ 6 เจ้าหน้าที่ได้สอบถามข้อมูลเพิ่มเติมและ ได้มีเจ้าหน้าที่อีกท่านหนึ่งเข้ามาสอบถามเพิ่มเติมว่าลูกสาวอายุเท่าไหร่ ภรรยาของข้าพเจ้าได้ตอบเจ้าหน้าที่ท่านนั้นไปว่าลูกสาวอายุ 17 ปี เจ้าหน้าที่ท่านนั้นจึงแจ้งให้ภรรยาของข้าพเจ้าทราบว่าวันนี้เปิดให้บริการเฉพาะ”ผู้ที่ทำบัตรเพื่อไปใช้สิทธิ์เลือกตั้งเท่านั้น”  จึงไม่สามารถให้บริการได้ทั้งที่ผู้เข้ารับบริการขณะนั้นจำนวนไม่มากเท่าไหร่  ข้าพเจ้าจึงได้พาครอบครัวเดินทางกลับไปติดต่อ ณ ที่ว่าการอำเภอบางปะอิน จ.พระนครศรีอยุธยา (ในเขตพื้นที่ทำงานและที่อยู่ปัจจุบันของข้าพเจ้า) เพื่อขอรับบริการทำบัตรประชาชน  ภรรยาของข้าพเจ้าก็ได้รับความสะดวกในการให้บริการทำบัตรประชาชนได้เป็นอย่างดียิ่ง  ข้าพเจ้าจึงอยากทราบว่าการปฏิเสธการให้บริการของสำนักงานเขตหลักสี่ในวันนั้นเป็นไปตามนโยบาย หรือเป็นเพราะความละเลยของเจ้าหน้าที่ ที่ควรจะให้บริการแก่ประชาชนที่เดินทางไปเพื่อเข้ารับบริการในขณะนั้น ซึ่งเหตุที่ข้าพเจ้าได้พาลูกสาวและภรรยาไปใช้บริการในเขตหลักสี่เพราะลูกสาวของข้าพเจ้ามีทะเบียนบ้านอยู่ในเขตหลักสี่ ข้าพเจ้าเกิดความสงสัยว่าเพราะเหตุใดการให้บริการประชาชนในแต่ละเขต/อำเภอจึงมีความสามารถในการให้บริการประชาชนที่แตกต่างกันไม่เหมือนกัน
//หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูดที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก
//ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการและโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัยหรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียนการเป็นพยาน หรือการให้ข้อมูลนั้น #ศรท #ศรท1111
#1555 #citydata",3ZFCGL,"['100.57894', '13.88749']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684395635564.jpeg,,สำนักงานเขตหลักสี่ ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร : 999 ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18 07:40:37.148968+00,"['ร้องเรียน', 'สอบถาม']",,0,,รอรับเรื่อง,2023-05-18 07:40:39.05134+00
ป้าย,กรุงเทพมหานคร,ป้ายร้านค้าใกล้เดอะไบรท์,2023-AY9FEM,"['100.44908', '13.66764']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/646505ac0fc4daaf3b6bbdad4df162c60002e2b7.jpg,,8 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18 07:40:09.085169+00,['ป้าย'],,0,,รอรับเรื่อง,2023-05-18 07:40:09.072165+00
